ID,Load,Group,Pre PV Rep 1,Pre PV Rep 2,Post PV Rep 1,Post PV Rep 2,Pre PP Rep 1,Pre PP Rep 2,Post PP Rep 1,Post PP Rep 2,Pre MV Rep 1,Pre MV Rep 2,Post MV Rep 1,Post MV Rep 2,Pre MP Rep 1,Pre MP Rep 2,Post MP Rep 1,Post MP Rep 2
1,45,cluster,1.03,1.16,0.81,0.87,206.3,234.34,209.26,229.19,0.74,0.77,0.56,0.61,130.89,135.65,137.33,149.01
1,55,cluster,1.15,1.18,0.88,0.79,268.87,275.72,275.64,242.46,0.77,0.82,0.62,0.5,166.74,176.61,146.9,181.8
1,65,cluster,1.09,1.08,0.73,0.66,299.89,311.69,265.35,239.72,0.78,0.74,0.51,0.48,176.61,199.37,164.73,173.99
1,75,cluster,0.85,0.91,0.55,0.46,256.53,277.55,226.52,187.06,0.63,0.66,0.4,0.55,188.25,193.99,151.04,159.72
1,85,cluster,0.73,0.83,0.42,0.37,263.34,301.36,192.54,176.29,0.51,0.52,0.29,0.26,169.33,172.29,135.17,117.71
1,95,cluster,0.55,0.72,0.37,0.27,212.61,294.89,197.25,139.63,0.33,0.4,0.15,0.22,122.08,150.73,77.8,109.73
2,45,cluster,1.3,1.25,1.17,1.17,926.74,854.7,840.12,830.15,0.86,0.86,0.76,0.77,509.53,562.03,261,449.24
2,55,cluster,1.2,1.19,1.02,1.01,826.66,948.47,848.78,855.38,0.83,0.86,0.65,0.62,597.66,601.7,457.28,462.93
2,65,cluster,1.02,0.96,0.83,0.83,970.98,855.99,761.24,750.23,0.71,0.73,0.53,0.54,601.7,614.88,440.39,445.72
2,75,cluster,0.74,0.71,0.65,0.64,762.66,755.29,675.19,652.84,0.59,0.53,0.46,0.47,518.48,522.74,453.04,452.04
2,85,cluster,0.53,0.56,0.51,0.52,617.85,648.79,579.56,597.69,0.4,0.42,0.39,0.37,436.21,464.76,456.92,424.08
2,95,cluster,0.4,0.4,0.32,0.34,536.43,522.98,410.15,438.05,0.3,0.24,0.25,0.26,362.42,298.29,402.63,304.94
3,45,cluster,1.2,1.24,1.19,1.1,264.83,292.55,289,278,0.83,0.85,0.87,0.86,167.5,174.04,201,209
3,55,cluster,0.92,1.03,0.92,0.91,239.64,291.48,285,283,0.67,0.71,0.7,0.63,163.44,174.04,210,199
3,65,cluster,0.74,0.77,0.73,0.75,221.02,237.04,261,264,0.6,0.55,0.59,0.4,172.92,160.43,189,183
3,75,cluster,0.53,0.65,0.59,0.61,186.77,231.12,236,230,0.45,0.45,0.45,0.41,148.75,150.32,157,161
3,85,cluster,0.39,0.54,0.41,0.39,156.81,219.27,187,184,0.3,0.31,0.31,0.2,113.82,116.34,137,131
3,95,cluster,0.36,1.05,0.33,0.29,162.1,258.54,171,168,0.18,0.73,0.2,0.16,74.85,,120,124
