ID,Load (%),Peak Power 1 & 2 (W),Mean Power 1 & 2 (W),time,group
1,45,206.3,130.89,pre_1,cluster
1,45,234.34,135.65,pre_2,cluster
1,55,268.87,166.74,pre_1,cluster
1,55,275.72,176.61,pre_2,cluster
1,65,299.89,199.37,pre_1,cluster
1,65,311.69,188.25,pre_2,cluster
1,75,256.53,184.97,pre_1,cluster
1,75,277.55,193.99,pre_2,cluster
1,85,263.34,169.33,pre_1,cluster
1,85,301.36,172.29,pre_2,cluster
1,95,212.61,122.08,pre_1,cluster
1,95,294.89,150.73,pre_2,cluster
1,45,287.83,156.59,mid_1,cluster
1,45,271.27,150.38,mid_2,cluster
1,55,269.88,152.15,mid_1,cluster
1,55,237.46,139.59,mid_2,cluster
1,65,283.21,181.42,mid_1,cluster
1,65,313.12,187.65,mid_2,cluster
1,75,250.63,168.56,mid_1,cluster
1,75,250.37,162.92,mid_2,cluster
1,85,248.14,162.94,mid_1,cluster
1,85,216.98,161.24,mid_2,cluster
1,95,196.75,118.53,mid_1,cluster
1,95,228.88,120.35,mid_2,cluster
1,45,209.26,137.33,post_1,cluster
1,45,229.19,149.01,post_2,cluster
1,55,275.64,181.8,post_1,cluster
1,55,242.46,146.9,post_2,cluster
1,65,265.35,173.99,post_1,cluster
1,65,239.72,164.73,post_2,cluster
1,75,226.52,159.72,post_1,cluster
1,75,187.06,151.04,post_2,cluster
1,85,192.54,135.17,post_1,cluster
1,85,176.29,117.71,post_2,cluster
1,95,197.25,77.8,post_1,cluster
1,95,139.63,109.73,post_2,cluster
2,45,926.74,562.03,pre_1,cluster
2,45,854.7,509.53,pre_2,cluster
2,55,826.66,597.66,pre_1,cluster
2,55,948.47,601.7,pre_2,cluster
2,65,970.98,614.88,pre_1,cluster
2,65,855.99,575.47,pre_2,cluster
2,75,762.66,522.74,pre_1,cluster
2,75,755.29,518.48,pre_2,cluster
2,85,617.85,436.21,pre_1,cluster
2,85,648.79,464.76,pre_2,cluster
2,95,536.43,362.42,pre_1,cluster
2,95,522.98,298.29,pre_2,cluster
2,45,887.85,493.56,mid_1,cluster
2,45,988.88,561.42,mid_2,cluster
2,55,887.26,569.41,mid_1,cluster
2,55,827.92,517.45,mid_2,cluster
2,65,798.02,514.02,mid_1,cluster
2,65,785.14,537.67,mid_2,cluster
2,75,671.12,533,mid_1,cluster
2,75,690.77,511,mid_2,cluster
2,85,572.29,516.96,mid_1,cluster
2,85,615.44,440.51,mid_2,cluster
2,95,458.04,439.35,mid_1,cluster
2,95,445.09,250.07,mid_2,cluster
2,45,840.12,261,post_1,cluster
2,45,830.15,449.24,post_2,cluster
2,55,848.78,457.28,post_1,cluster
2,55,855.38,462.93,post_2,cluster
2,65,761.24,440.39,post_1,cluster
2,65,750.23,445.72,post_2,cluster
2,75,675.19,453.04,post_1,cluster
2,75,652.84,452.04,post_2,cluster
2,85,579.56,456.92,post_1,cluster
2,85,597.69,424.08,post_2,cluster
2,95,410.15,402.63,post_1,cluster
2,95,438.05,304.94,post_2,cluster
3,45,644,417.86,pre_1,traditional
3,45,820.16,481.57,pre_2,traditional
3,55,817.71,505.35,pre_1,traditional
3,55,752.63,442.86,pre_2,traditional
3,65,791.02,453.61,pre_1,traditional
3,65,688.16,451.52,pre_2,traditional
3,75,724.05,403.86,pre_1,traditional
3,75,721.43,412.06,pre_2,traditional
3,85,736.38,334.23,pre_1,traditional
3,85,692.96,281.48,pre_2,traditional
3,95,701.11,241.21,pre_1,traditional
3,95,792.25,,pre_2,traditional
3,45,743.51,413.36,mid_1,traditional
3,45,805.85,389.81,mid_2,traditional
3,55,664.8,374.62,mid_1,traditional
3,55,736.94,396.62,mid_2,traditional
3,65,797.42,399.45,mid_1,traditional
3,65,656.32,418.33,mid_2,traditional
3,75,611.48,381.11,mid_1,traditional
3,75,594.97,353.17,mid_2,traditional
3,85,679.69,435.5,mid_1,traditional
3,85,743.93,359.79,mid_2,traditional
3,95,676.82,346.36,mid_1,traditional
3,95,648.85,187.55,mid_2,traditional
3,45,747.67,465.18,post_1,traditional
3,45,717.68,438.16,post_2,traditional
3,55,798.86,465.91,post_1,traditional
3,55,724.14,414.91,post_2,traditional
3,65,777.38,404.16,post_1,traditional
3,65,804.16,375.42,post_2,traditional
3,75,758.51,371.64,post_1,traditional
3,75,737.16,389.33,post_2,traditional
3,85,801.47,361.72,post_1,traditional
3,85,832.95,408.71,post_2,traditional
3,95,635.03,188.55,post_1,traditional
3,95,,,post_2,traditional
7,45,264.83,167.5,pre_1,cluster
7,45,292.55,170.05,pre_2,cluster
7,55,239.64,163.44,pre_1,cluster
7,55,291.48,174.04,pre_2,cluster
7,65,221.02,172.92,pre_1,cluster
7,65,237.04,160.43,pre_2,cluster
7,75,186.77,148.75,pre_1,cluster
7,75,231.12,150.32,pre_2,cluster
7,85,156.81,113.82,pre_1,cluster
7,85,219.27,116.34,pre_2,cluster
7,95,162.1,74.85,pre_1,cluster
7,95,258.54,,pre_2,cluster
7,45,202.54,161.98,mid_1,cluster
7,45,270.38,134.28,mid_2,cluster
7,55,251.01,168,mid_1,cluster
7,55,205.79,163.25,mid_2,cluster
7,65,251.89,159.22,mid_1,cluster
7,65,199.85,166.36,mid_2,cluster
7,75,229.72,144.26,mid_1,cluster
7,75,223.93,158.97,mid_2,cluster
7,85,165,142.57,mid_1,cluster
7,85,193.3,106.33,mid_2,cluster
7,95,177.75,93.6,mid_1,cluster
7,95,,89.64,mid_2,cluster
7,45,289,201,post_1,cluster
7,45,278,209,post_2,cluster
7,55,285,210,post_1,cluster
7,55,283,199,post_2,cluster
7,65,261,189,post_1,cluster
7,65,264,183,post_2,cluster
7,75,236,157,post_1,cluster
7,75,230,161,post_2,cluster
7,85,187,137,post_1,cluster
7,85,184,131,post_2,cluster
7,95,171,120,post_1,cluster
7,95,168,124,post_2,cluster
9,45,690.84,389.87,pre_1,traditional
9,45,584.52,381.71,pre_2,traditional
9,55,654.15,382.76,pre_1,traditional
9,55,557.27,340.21,pre_2,traditional
9,65,436.94,327.77,pre_1,traditional
9,65,438.51,315.6,pre_2,traditional
9,75,363.26,300.17,pre_1,traditional
9,75,377.12,317.6,pre_2,traditional
9,85,337.26,255.28,pre_1,traditional
9,85,355.09,255.42,pre_2,traditional
9,95,312.89,125.13,pre_1,traditional
9,95,369.93,137.04,pre_2,traditional
9,45,609.87,355.67,mid_1,traditional
9,45,565.47,342.24,mid_2,traditional
9,55,528.74,354.93,mid_1,traditional
9,55,505.13,319.39,mid_2,traditional
9,65,406.07,273.19,mid_1,traditional
9,65,498.48,332.75,mid_2,traditional
9,75,459.65,353.49,mid_1,traditional
9,75,497.01,386.66,mid_2,traditional
9,85,466.75,321.12,mid_1,traditional
9,85,435.53,265.33,mid_2,traditional
9,95,387.6,171.51,mid_1,traditional
9,95,336.09,218.03,mid_2,traditional
9,45,686.74,375.33,post_1,traditional
9,45,578.28,350.31,post_2,traditional
9,55,545.9,344.8,post_1,traditional
9,55,600.3,402.56,post_2,traditional
9,65,506.51,339.3,post_1,traditional
9,65,547.73,362.06,post_2,traditional
9,75,433.04,345.55,post_1,traditional
9,75,485.92,367.98,post_2,traditional
9,85,394.2,307.41,post_1,traditional
9,85,368.05,294.11,post_2,traditional
9,95,417.04,210.77,post_1,traditional
9,95,391.84,228.26,post_2,traditional
4,45,414.74,271.37,pre_1,cluster
4,45,381.65,240.57,pre_2,cluster
4,55,331.28,249.28,pre_1,cluster
4,55,355.69,248.47,pre_2,cluster
4,65,856.59,304.42,pre_1,cluster
4,65,401.57,306.8,pre_2,cluster
4,75,343.39,268.11,pre_1,cluster
4,75,366.22,271.35,pre_2,cluster
4,85,310.58,237.57,pre_1,cluster
4,85,358.66,218.32,pre_2,cluster
4,95,293.34,150.56,pre_1,cluster
4,95,321.67,172.49,pre_2,cluster
4,45,529.32,331.35,mid_1,cluster
4,45,450.79,292.8,mid_2,cluster
4,55,443.17,316.71,mid_1,cluster
4,55,450.68,301.22,mid_2,cluster
4,65,442.73,325.2,mid_1,cluster
4,65,425,310.05,mid_2,cluster
4,75,378.95,276.44,mid_1,cluster
4,75,409.09,303.96,mid_2,cluster
4,85,384.36,264.14,mid_1,cluster
4,85,415.33,269.67,mid_2,cluster
4,95,366.97,151.25,mid_1,cluster
4,95,363.93,197.71,mid_2,cluster
4,45,451.6,240.18,post_1,cluster
4,45,495.28,272.62,post_2,cluster
4,55,440.39,316.48,post_1,cluster
4,55,484.5,328.25,post_2,cluster
4,65,424.02,316.73,post_1,cluster
4,65,395.29,299.64,post_2,cluster
4,75,352.48,271.81,post_1,cluster
4,75,375.86,287.98,post_2,cluster
4,85,324.55,218.03,post_1,cluster
4,85,289.96,216.06,post_2,cluster
4,95,309.96,177.79,post_1,cluster
4,95,330.12,172.13,post_2,cluster
8,45,700.07,363.66,pre_1,cluster
8,45,720.26,370.02,pre_2,cluster
8,55,680.54,418.23,pre_1,cluster
8,55,653.53,409.92,pre_2,cluster
8,65,660.36,435.82,pre_1,cluster
8,65,642.47,419.95,pre_2,cluster
8,75,631.92,427.82,pre_1,cluster
8,75,553.67,387.66,pre_2,cluster
8,85,522.63,344.03,pre_1,cluster
8,85,475.12,355.94,pre_2,cluster
8,95,473.91,248.03,pre_1,cluster
8,95,423.58,224.7,pre_2,cluster
8,45,671.42,390.34,mid_1,cluster
8,45,663.84,423.1,mid_2,cluster
8,55,591.17,377.01,mid_1,cluster
8,55,605.16,370.43,mid_2,cluster
8,65,654.76,438.07,mid_1,cluster
8,65,573.96,404.04,mid_2,cluster
8,75,620.6,428.59,mid_1,cluster
8,75,522.74,397.13,mid_2,cluster
8,85,455.07,300.56,mid_1,cluster
8,85,492.6,353.02,mid_2,cluster
8,95,480.47,282.15,mid_1,cluster
8,95,461.55,224.44,mid_2,cluster
8,45,951.92,346.72,post_1,cluster
8,45,932.61,392.35,post_2,cluster
8,55,571.2,370.44,post_1,cluster
8,55,558.49,362.23,post_2,cluster
8,65,499.8,349.06,post_1,cluster
8,65,531.78,376.03,post_2,cluster
8,75,435.11,324.28,post_1,cluster
8,75,434.97,308.86,post_2,cluster
8,85,422.14,228.09,post_1,cluster
8,85,392.63,288.05,post_2,cluster
8,95,385.99,193.99,post_1,cluster
8,95,395.01,153.39,post_2,cluster
6,45,709.35,399.48,pre_1,traditional
6,45,911.27,489.94,pre_2,traditional
6,55,762.9,463.98,pre_1,traditional
6,55,724.35,444.8,pre_2,traditional
6,65,656.48,441.42,pre_1,traditional
6,65,600.74,413.78,pre_2,traditional
6,75,414.17,317.05,pre_1,traditional
6,75,460.58,368.7,pre_2,traditional
6,85,501.95,335.88,pre_1,traditional
6,85,493.5,303.18,pre_2,traditional
6,95,422.32,173.71,pre_1,traditional
6,95,403.92,156.89,pre_2,traditional
6,45,811.69,441.13,mid_1,traditional
6,45,796.12,456.05,mid_2,traditional
6,55,804.81,484.23,mid_1,traditional
